,schoolname,schoolcode,sssdistrict,ssslong,ssslat
506,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,Dangme East (Ada),0.10686218,5.914733887
507,"ADONTEN SENIOR HIGH SCH., ABURI",20302,Akwapim South (Nsawam),-0.268249363,5.826002598
508,"PRESBY SENIOR HIGH./ TECH. SCHOOL, ABURI",20305,Akwapim South (Nsawam),-0.268249363,5.826002598
509,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,Ga West (Amasaman),-0.397510529,5.664687634
510,"WENCHI METH. SENIOR HIGH SCHOOL, WENCHI",60601,Wenchi,-1.944841981,7.677614689
511,"KOFORIDUA SENIOR HIGH. SCH., ADA-KOFORIDUA",20105,New Juaben (Koforidua),-0.297512323,6.112612724
512,"BOA-AMPONSEM SENIOR HIGH. SCHOOL, DUNKWA-ON-OFFIN",31001,Upper Denkyira (Dunkwa-On-Offin),-1.867448211,5.957923412
513,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA",10108,Accra Metropolitan,-0.197115257,5.607395649
514,"AHANTAMAN SENIOR HIGH. SCHOOL, SEKONDI-KETAN",40106,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
515,"TWENEBOA KODUA SENIOR HIGH. SCH., KUMAWU",51802,Sekyere East (Effiduase),-0.844235957,7.210828781
516,"TAKORADI SENIOR HIGH SCHOOL, TANOKROM",40101,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
517,"WA SENIOR HIGH SCHOOL, WA",100102,Wa Municipal,-2.285030365,10.03062153
518,"SOGAKOFE SENIOR HIGH. SCHOOL, SOGAKOFE",70901,South Tongu (Sogakope),0.645589471,5.960537434
519,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,Ga West (Amasaman),-0.397510529,5.664687634
520,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA",10108,Accra Metropolitan,-0.197115257,5.607395649
521,"ST. MARY'S BOY'S SENIOR HIGH. SCHOOL, APOWA",40201,Ahanta West (Agona Ahanta),-1.990561366,4.834703922
522,"AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,Birim South (Akim Oda),-0.969164491,5.864167213
523,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP",10115,Accra Metropolitan,-0.197115257,5.607395649
524,"AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,Ho Municipal,0.52614224,6.717607021
525,"KOFORIDUA TECH. INST., KOFORIDUA",9020101,New Juaben (Koforidua),-0.297512323,6.112612724
526,"TECHNOLOGY SENIOR HIGH. SCHOOL, KUMASI",50109,Kumasi Metro,-1.597187161,6.682059765
527,"CHEMU SENIOR HIGH. SCHOOL, TEMA COMM. 4",10202,Tema,-0.050088216,5.69031477
528,"S.D.A SENIOR HIGH. SCHOOL, AGONA",50602,Afigya Sekyere (Agona),-1.548614264,7.00199604
529,"SOGAKOFE SENIOR HIGH. SCHOOL, SOGAKOFE",70901,South Tongu (Sogakope),0.645589471,5.960537434
530,"TAMALE SENIOR HIGH SCHOOL, TAMALE",80101,Tamale,-0.784348249,9.383351326
531,"NIFA SENIOR HIGH. SCH., ADUKROM",20401,Akwapim North (Akropong),-0.166071147,5.976426125
532,"UNIVERSITY PRACTICE SENIOR HIGH. SCHOOL, CAPE COAST",30105,Cape Coast Municipal,-1.306593895,5.153656006
533,"ST. PAUL TECH. SCHOOL, KUKURANTUMI",9021301,East Akim (Kibi),-0.454344213,6.178557873
534,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA",10205,Tema,-0.050088216,5.69031477
535,"TAKORADI SENIOR HIGH SCHOOL, TANOKROM",40101,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
536,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,Gomoa (Apam),-0.723635495,5.404561043
537,"AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
538,"ADU GYAMFI SENIOR HIGH. SCHOOL, JAMASI",50605,Afigya Sekyere (Agona),-1.548614264,7.00199604
539,"KOFORIDUA SENIOR HIGH. SCH., ADA-KOFORIDUA",20105,New Juaben (Koforidua),-0.297512323,6.112612724
540,"SEKONDI COLLEGE, SEKONDI",40102,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
541,"MPRAESO SENIOR HIGH. SCHOOL, MPRAESO",21002,Kwahu South (Mpraeso),-0.635528684,6.619226456
542,"JACHIE-PRAMSO SENIOR HIGH. SCHOOL, JACHIE-PRAMSO",51602,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
543,"ADU GYAMFI SENIOR HIGH. SCHOOL, JAMASI",50605,Afigya Sekyere (Agona),-1.548614264,7.00199604
544,"AMANIAMPONG SENIOR HIGH. SCHOOL, MAMPONG",50503,Sekyere West (Mampong),-1.180076838,7.199564934
545,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
546,"NANDOM SENIOR HIGH SCHOOL, NANDOM",100201,Lawra,-2.800941229,10.54639816
547,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE",10116,Accra Metropolitan,-0.197115257,5.607395649
548,"ASSIN MANSO SENIOR HIGH. SCHOOL, ASSIN MANSO",31201,Assin North (Assin Fosu),-1.374616981,5.77799511
549,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA",10107,Accra Metropolitan,-0.197115257,5.607395649
550,KADE DAY HIGH/TECH,21102,Kwaebibirem (Kade),-0.799037278,6.133318901
551,"NKAWIE SENIOR HIGH./TECH. SCH, NKAWIE",50204,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
552,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN",10101,Accra Metropolitan,-0.197115257,5.607395649
553,"ADUMAN SENIOR HIGH SCHOOL, ADUMAN",50704,Kwabre (Mamponteng),-1.541420102,6.806778431
554,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,Dangme East (Ada),0.10686218,5.914733887
555,"ST. MARY'S SEMINARY SENIOR HIGH. SCHOOL, LOLOBI",71005,Hohoe,0.466238558,7.030594826
556,"ODA SENIOR HIGH SCHOOL, AKIM ODA",20601,Birim South (Akim Oda),-0.969164491,5.864167213
557,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE",10116,Accra Metropolitan,-0.197115257,5.607395649
558,"ASAMANKESE SENIOR HIGH. SCHOOL, ASAMANKESE",20501,West Akim (Asamankese),-0.609122574,5.833612442
559,"ST. MARY'S BOY'S SENIOR HIGH. SCHOOL, APOWA",40201,Ahanta West (Agona Ahanta),-1.990561366,4.834703922
560,"BOLGATANGA SENIOR HIGH SCH, BOLGATANGA",90403,Bolgatanga,-0.880232632,10.74245644
561,"EJISUMAN SENIOR HIGH SCHOOL, EJISU",51601,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
562,"JUABEN SENIOR HIGH SCHOOL, JUABEN",51603,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
563,"ST. MARY'S BOY'S SENIOR HIGH. SCHOOL, APOWA",40201,Ahanta West (Agona Ahanta),-1.990561366,4.834703922
564,"ADUMAN SENIOR HIGH SCHOOL, ADUMAN",50704,Kwabre (Mamponteng),-1.541420102,6.806778431
565,"TWENEBOA KODUA SENIOR HIGH. SCH., KUMAWU",51802,Sekyere East (Effiduase),-0.844235957,7.210828781
566,"EFFIDUASE SENIOR HIGH. COMM. SCHOOL, EFFIDUASE",51801,Sekyere East (Effiduase),-0.844235957,7.210828781
567,"EJISUMAN SENIOR HIGH SCHOOL, EJISU",51601,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
568,"GHANATTA SENIOR HIGH. SCHOOL, DODOWA",10401,Dangme West (Dodowa),0.512386501,5.786250591
569,"DOMPOASE SENIOR HIGH. SCHOOL, DOMPOASE",51201,Adansi West (Obuasi),-1.65927422,5.986411572
570,"TECHIMAN SENIOR HIGH. SCHOOL, TECHIMAN",60701,Techiman,-1.944841981,7.677614689
571,"KOFORIDUA SENIOR HIGH. SCH., ADA-KOFORIDUA",20105,New Juaben (Koforidua),-0.297512323,6.112612724
572,"DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,Offinso,-1.890868545,7.34876442
573,"PRESBYTARIAN SENIOR HIGH. SCHOOL, BEREKUM",60303,Berekum,-2.631743908,7.503564835
574,"GHANA SENIOR HIGH. SCHOOL, TAMALE",80102,Tamale,-0.784348249,9.383351326
575,"NSABA PRESBY SENIOR HIGH. SCHOOL, NSABA",30903,Agona Swedru,-0.755242527,5.617353439
576,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA",10107,Accra Metropolitan,-0.197115257,5.607395649
577,"TAMALE SENIOR HIGH SCHOOL, TAMALE",80101,Tamale,-0.784348249,9.383351326
578,"DORMAA SENIOR HIGH SCHOOL, DORMAA",61001,Dormaa (Dormaa Ahenkro),-2.753840446,7.222848892
579,"BENKUM SENIOR HIGH SCHOOL, LARTE-AKW",20403,Akwapim North (Akropong),-0.166071147,5.976426125
580,"SWEDRU SCHOOL OF BUSINESS, SWEDRU",30902,Agona Swedru,-0.755242527,5.617353439
581,"NSAWAM SENIOR HIGH. SCH., NSAWAM",20304,Akwapim South (Nsawam),-0.268249363,5.826002598
582,"PRESBY SENIOR HIGH. SCHOOL, BECHEM",60201,Tano (Bechem),-2.021415234,7.183659077
583,"ASSIN MANSO SENIOR HIGH. SCHOOL, ASSIN MANSO",31201,Assin North (Assin Fosu),-1.374616981,5.77799511
584,"KETA SENIOR HIGH SCHOOL, KETA",70502,Keta,0.853055775,5.907464027
585,"ST. FRANCIS GIRLS SCHOOL, JIRAPA",100302,Jirapa/Lambusie (Jirapa),-2.583322525,10.69203472
586,"AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,Birim South (Akim Oda),-0.969164491,5.864167213
587,"ADA SENIOR HIGH./TECH. SCHOOL, ADA",10302,Dangme East (Ada),0.10686218,5.914733887
588,"ADUMAN SENIOR HIGH SCHOOL, ADUMAN",50704,Kwabre (Mamponteng),-1.541420102,6.806778431
589,"EJISUMAN SENIOR HIGH SCHOOL, EJISU",51601,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
590,"EBENEZER SENIOR HIGH. SCHOOL, DANSOMAN",10101,Accra Metropolitan,-0.197115257,5.607395649
591,"ASSIN MANSO SENIOR HIGH. SCHOOL, ASSIN MANSO",31201,Assin North (Assin Fosu),-1.374616981,5.77799511
592,"TWENEBOA KODUA SENIOR HIGH. SCH., KUMAWU",51802,Sekyere East (Effiduase),-0.844235957,7.210828781
593,"NKAWIE SENIOR HIGH./TECH. SCH, NKAWIE",50204,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
594,TWENE AMANFO SENIOR HIGH & TECHNICAL,60101,Sunyani,-2.327423334,7.344677925
595,"BOLGATANGA SENIOR HIGH SCH, BOLGATANGA",90403,Bolgatanga,-0.880232632,10.74245644
596,"KETA SENIOR HIGH SCHOOL, KETA",70502,Keta,0.853055775,5.907464027
597,"OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,Afigya Sekyere (Agona),-1.548614264,7.00199604
598,"OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,New Juaben (Koforidua),-0.297512323,6.112612724
599,"OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,New Juaben (Koforidua),-0.297512323,6.112612724
600,"DROBO SENIOR HIGH SCHOOL, DROBO",60501,Jaman (Drobo),-2.75930357,7.683095932
601,"SUHUM SENIOR HIGH./TECH SCH., SUHUM",20201,Suhum/Kraboa/Coaltar,-0.474989742,5.944515228
602,"NKWATIA PRESBY SENIOR HIGH./COMM SCH, NKWATIA",21006,Kwahu South (Mpraeso),-0.635528684,6.619226456
603,"TWENEBOA KODUA SENIOR HIGH. SCH., KUMAWU",51802,Sekyere East (Effiduase),-0.844235957,7.210828781
604,"NKAWIE SENIOR HIGH./TECH. SCH, NKAWIE",50204,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
605,"FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,Wassa West (Tarkwa),-1.988853216,5.276049137
606,"AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,Ho Municipal,0.52614224,6.717607021
607,"ACADEMY OF CHRIST THE KING, CAPE COAST",30109,Cape Coast Municipal,-1.306593895,5.153656006
608,"WA SENIOR HIGH SCHOOL, WA",100102,Wa Municipal,-2.285030365,10.03062153
609,"ASSIN MANSO SENIOR HIGH. SCHOOL, ASSIN MANSO",31201,Assin North (Assin Fosu),-1.374616981,5.77799511
610,"AKWAMUMAN SENIOR HIGH. SCHOOL, ATIMPOKU-AKOSOMBO",20803,Asuogyaman (Senchi Ferry),0.08832825,6.189229488
611,"HAVE TECH. INST., HAVE",9071001,Hohoe,0.466238558,7.030594826
612,"OBUASI SENIOR HIGH./TECH. SCHOOL, OBUASI",51202,Adansi West (Obuasi),-1.65927422,5.986411572
613,"KUMASI TECH. INST., KUMASI",9050101,Kumasi Metro,-1.597187161,6.682059765
614,"SWEDRU SCHOOL OF BUSINESS, SWEDRU",30902,Agona Swedru,-0.755242527,5.617353439
615,"OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,Afigya Sekyere (Agona),-1.548614264,7.00199604
616,"WEST AFRICA SENIOR HIGH. SCH., ADENTA",10502,Ga West (Amasaman),-0.397510529,5.664687634
617,TWENE AMANFO SENIOR HIGH & TECHNICAL,60101,Sunyani,-2.327423334,7.344677925
618,"LASSIE-TUOLO SNR SENIOR HIGH. SCHOOL, LASSIE",100104,Wa Municipal,-2.285030365,10.03062153
619,"TWENEBOA KODUA SENIOR HIGH. SCH., KUMAWU",51802,Sekyere East (Effiduase),-0.844235957,7.210828781
620,"NAVRONGO SENIOR HIGH SCH, JAMANIA-NAVRONGO",90501,Kassena/Nankani (Navrongo),-1.217440963,10.90942287
621,"PRESBY SENIOR HIGH. SCHOOL, BECHEM",60201,Tano (Bechem),-2.021415234,7.183659077
622,"TARKWA SENIOR HIGH SCHOOL, TARKWA",40904,Wassa West (Tarkwa),-1.988853216,5.276049137
623,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO",21502,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
624,"PRESBYTERIAN SENIOR HIGH. SCHOOL, OSU-ACCRA",10107,Accra Metropolitan,-0.197115257,5.607395649
625,"OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,Afigya Sekyere (Agona),-1.548614264,7.00199604
626,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA",10213,Tema,-0.050088216,5.69031477
627,"KUMASI TECH. INST., KUMASI",9050101,Kumasi Metro,-1.597187161,6.682059765
628,"E.P. SENIOR HIGH SCHOOL, HOHOE",71006,Hohoe,0.466238558,7.030594826
629,"KADJEBI-ASATO SENIOR HIGH. SCHOOL, KADJEBI-ASATO",71201,Kadjebi,0.496497512,7.721589088
630,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA",10213,Tema,-0.050088216,5.69031477
631,"ANLO SENIOR HIGH. SCHOOL, ANLOGA",70501,Keta,0.853055775,5.907464027
632,"OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,Afigya Sekyere (Agona),-1.548614264,7.00199604
633,"GOWRIE SENIOR HIGH/TECHNICAL SCH, GOWRIE",90602,Bongo,-0.787704289,10.92411995
634,"ACADEMY OF CHRIST THE KING, CAPE COAST",30109,Cape Coast Municipal,-1.306593895,5.153656006
635,"SOGAKOFE SENIOR HIGH. SCHOOL, SOGAKOFE",70901,South Tongu (Sogakope),0.645589471,5.960537434
636,"JACHIE-PRAMSO SENIOR HIGH. SCHOOL, JACHIE-PRAMSO",51602,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
637,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA",10108,Accra Metropolitan,-0.197115257,5.607395649
638,"KPANDO SENIOR HIGH SCHOOL, KPANDO",70602,Kpando,0.267385125,6.89685154
639,"BREMAN ASIKUMA SENIOR HIGH. SCHOOL, BREMAN ASIKUMA",30801,Asikuma/Odoben/Brakwa (Breman Asikuma),-1.017074227,5.638250351
640,"METHODIST HIGH SCHOOL, SALTPOND",30304,Mfantsiman (Saltpond),-1.006453395,5.201528072
641,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN",10142,Accra Metropolitan,-0.197115257,5.607395649
642,"AHANTAMAN SENIOR HIGH. SCHOOL, SEKONDI-KETAN",40106,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
643,"MANYA KROBO SENIOR HIGH, SCHOOL, NEW NUASO",21502,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
644,"FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,Wassa West (Tarkwa),-1.988853216,5.276049137
645,"SWEDRU SCHOOL OF BUSINESS, SWEDRU",30902,Agona Swedru,-0.755242527,5.617353439
646,"KAJAJI SENIOR HIGH SCHOOL, KAJAJI SETT'NT TOWN",61102,Sene (Kwame Danso),-0.34885782,7.721522331
647,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
648,"OUR LADY OF MERCY SENIOR HIGH SCHOOL, TEMA",10213,Tema,-0.050088216,5.69031477
649,"WEST AFRICA SENIOR HIGH. SCH., ADENTA",10502,Ga West (Amasaman),-0.397510529,5.664687634
650,"T.I. AHMAD MUSLIM SENIOR HIGH SCHOOL, FOMENA",51203,Adansi West (Obuasi),-1.65927422,5.986411572
651,"TESHIE PRESBY SENIOR HIGH. SCHOOL, TESHIE",10116,Accra Metropolitan,-0.197115257,5.607395649
652,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,Gomoa (Apam),-0.723635495,5.404561043
653,"LA PRESBY SNR SENIOR HIGH SCH., LA EMMAUS",10128,Accra Metropolitan,-0.197115257,5.607395649
654,"AFUA KOBI AMPEM GIRLS SENIOR HIGH. SCHOOL, TRABUOM",51701,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
655,"ASAMANKESE SENIOR HIGH. SCHOOL, ASAMANKESE",20501,West Akim (Asamankese),-0.609122574,5.833612442
656,"KETA BUSINESS SENIOR HIGH. SCHOOL, KETA",70504,Keta,0.853055775,5.907464027
657,"TEMA METHODIST DAY SENIOR HIGH. SCH., TEMA",10205,Tema,-0.050088216,5.69031477
658,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,Ga West (Amasaman),-0.397510529,5.664687634
659,"EJISUMAN SENIOR HIGH SCHOOL, EJISU",51601,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
660,"O'REILLY SENIOR HIGH SCHOOL, ADABRAKA",10108,Accra Metropolitan,-0.197115257,5.607395649
661,"ST. HUBERT SEM./SENIOR HIGH SCH, KUMASI",50119,Kumasi Metro,-1.597187161,6.682059765
662,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,Dangme East (Ada),0.10686218,5.914733887
663,"KINBU SENIOR HIGH/TECHNICAL SCHOOL, KINDB-ACCRA",10109,Accra Metropolitan,-0.197115257,5.607395649
664,"BEREKUM SENIOR HIGH SCHOOL, BEREKUM",60301,Berekum,-2.631743908,7.503564835
665,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,Gomoa (Apam),-0.723635495,5.404561043
666,"AKIM SWEDRU SENIOR HIGH. SCHOOL, AKIM SWEDRU",20602,Birim South (Akim Oda),-0.969164491,5.864167213
667,"NKAWKAW SENIOR HIGH SCH, NKAWKAW",21004,Kwahu West (Nkawkaw),-0.801975071,6.527020931
668,"BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
669,"DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,Offinso,-1.890868545,7.34876442
670,"KPANDO SENIOR HIGH SCHOOL, KPANDO",70602,Kpando,0.267385125,6.89685154
671,"AMASAMAN SENIOR HIGH./TECH SCH., AMASAMAN",10504,Ga West (Amasaman),-0.397510529,5.664687634
672,"ADA SENIOR HIGH. SCHOOL, ADA-FOAH",10301,Dangme East (Ada),0.10686218,5.914733887
673,"BUSINESS SENIOR HIGH SCHOOL, TAMALE",80104,Tamale,-0.784348249,9.383351326
674,"AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,Ho Municipal,0.52614224,6.717607021
675,"GHANA SENIOR HIGH. SCHOOL, TAMALE",80102,Tamale,-0.784348249,9.383351326
676,"SERWAA KESSE GIRLS SENIOR HIGH, DUAYAW NKWANTA",60203,Tano North,-2.179065228,7.177093506
677,"KAJAJI SENIOR HIGH SCHOOL, KAJAJI SETT'NT TOWN",61102,Sene (Kwame Danso),-0.34885782,7.721522331
678,"DOMPOASE SENIOR HIGH. SCHOOL, DOMPOASE",51201,Adansi West (Obuasi),-1.65927422,5.986411572
679,"ADUMAN SENIOR HIGH SCHOOL, ADUMAN",50704,Kwabre (Mamponteng),-1.541420102,6.806778431
680,"SENYA SENIOR HIGH SCHOOL, SENYA",30602,Awutu/Efutu/Senya (Winneba),-0.508638918,5.544896126
681,"SERWAA KESSE GIRLS SENIOR HIGH, DUAYAW NKWANTA",60203,Tano North,-2.179065228,7.177093506
682,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI",100503,Nadowli,-2.427624464,10.36250973
683,"WESLEY HIGH SCHOOL, BEKWAI",50307,Amansie East (Bekwai),-1.37072885,6.383360863
684,"METHODIST GIRLS SENIOR HIGH. SCHOOL, MAMFE",20410,Akwapim North (Akropong),-0.166071147,5.976426125
685,"PRESBY SENIOR HIGH. SCHOOL, TEMA",10210,Tema,-0.050088216,5.69031477
686,"ABETIFI PRESBY SENIOR HIGH. SCHOOL, ABETIFI",21001,Kwahu South (Mpraeso),-0.635528684,6.619226456
687,TEMA TECH. INST.,9010201,Tema,-0.050088216,5.69031477
688,"DROBO SENIOR HIGH SCHOOL, DROBO",60501,Jaman (Drobo),-2.75930357,7.683095932
689,"OSEI TUTU SENIOR HIGH. SCHOOL, AKROPONG",50203,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
690,"TWIFO PRASO SENIOR HIGH SCHOOL, TWIFO PRASO",31101,Twifo Hemang (Twifo Praso),-1.55970335,5.572999477
691,"OYOKO METHODIST SENIOR HIGH SCH., OYOKO-KOFORIDUA",20106,New Juaben (Koforidua),-0.297512323,6.112612724
692,"MPRAESO SENIOR HIGH. SCHOOL, MPRAESO",21002,Kwahu South (Mpraeso),-0.635528684,6.619226456
693,"BOMPEH SENIOR HIGH./TECH SCHOOL, TAKORADI",40108,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
694,"ADA SENIOR HIGH./TECH. SCHOOL, ADA",10302,Dangme East (Ada),0.10686218,5.914733887
695,"ST. MARGARET MARY SENIOR HIGH/TECHNICAL SCH., DANSOMAN",10142,Accra Metropolitan,-0.197115257,5.607395649
696,"ANTOA SENIOR HIGH SCHOOL, ANTOA",50701,Kwabre (Mamponteng),-1.541420102,6.806778431
697,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP",10115,Accra Metropolitan,-0.197115257,5.607395649
698,"OPPON MEMORIAL SENIOR HIGH. SCHOOL, KOKOFU",50302,Amansie East (Bekwai),-1.37072885,6.383360863
699,"AWUDOME SENIOR HIGH. SCHOOL, TSITO",70104,Ho Municipal,0.52614224,6.717607021
700,"ST. MARY'S SEMINARY SENIOR HIGH. SCHOOL, LOLOBI",71005,Hohoe,0.466238558,7.030594826
701,"FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,Wassa West (Tarkwa),-1.988853216,5.276049137
702,"OBUASI SENIOR HIGH./TECH. SCHOOL, OBUASI",51202,Adansi West (Obuasi),-1.65927422,5.986411572
703,"ARMED FORCES SENIOR HIGH./TECH SCHOOL, BURMA CAMP",10115,Accra Metropolitan,-0.197115257,5.607395649
704,"ST. FRANCIS SENIOR HIGH./TECH SCH, AKIM ODA",20603,Birim South (Akim Oda),-0.969164491,5.864167213
705,"FIASEMAN SENIOR HIGH. SCHOOL, BENKYIM TARKWA",40903,Wassa West (Tarkwa),-1.988853216,5.276049137
706,"OPPON MEMORIAL SENIOR HIGH. SCHOOL, KOKOFU",50302,Amansie East (Bekwai),-1.37072885,6.383360863
707,KADE DAY HIGH/TECH,21102,Kwaebibirem (Kade),-0.799037278,6.133318901
708,"ODORGONNO SENIOR HIGH. SCH., AWOSHIE",10118,Ga West (Amasaman),-0.397510529,5.664687634
709,"WA SENIOR HIGH SCHOOL, WA",100102,Wa Municipal,-2.285030365,10.03062153
710,"OKOMFO ANOKYE SENIOR HIGH. SCHOOL, WIAMOASE",50601,Afigya Sekyere (Agona),-1.548614264,7.00199604
711,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,Gomoa (Apam),-0.723635495,5.404561043
712,"POTSIN T.I. AHMADIYYA SENIOR HIGH SCHOOL, POTSIN",30502,Gomoa (Apam),-0.723635495,5.404561043
713,"HOLY TRINITY CATHEDRAL SENIOR HIGH SCH, ACCRA",10104,Accra Metropolitan,-0.197115257,5.607395649
714,"JUABEN SENIOR HIGH SCHOOL, JUABEN",51603,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
715,"DUNKWA SENIOR HIGH./TECH. SCHOOL, DUNKWA-ON-OFFIN",31002,Upper Denkyira (Dunkwa-On-Offin),-1.867448211,5.957923412
716,"TAKORADI SENIOR HIGH SCHOOL, TANOKROM",40101,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
717,"AMANIAMPONG SENIOR HIGH. SCHOOL, MAMPONG",50503,Sekyere West (Mampong),-1.180076838,7.199564934
718,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN",10119,Accra Metropolitan,-0.197115257,5.607395649
719,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
720,"WA SENIOR HIGH SCHOOL, WA",100102,Wa Municipal,-2.285030365,10.03062153
721,"ACCRA TECH. TRG. CENTRE, KOKOMLEMLE       ",9010101,Accra Metropolitan,-0.197115257,5.607395649
722,"QUEEN OF PEACE SENIOR HIGH. SCHOOL, NADOWLI",100503,Nadowli,-2.427624464,10.36250973
723,"DROBO SENIOR HIGH SCHOOL, DROBO",60501,Jaman (Drobo),-2.75930357,7.683095932
724,"NKWATIA PRESBY SENIOR HIGH./COMM SCH, NKWATIA",21006,Kwahu South (Mpraeso),-0.635528684,6.619226456
725,"KADJEBI-ASATO SENIOR HIGH. SCHOOL, KADJEBI-ASATO",71201,Kadjebi,0.496497512,7.721589088
726,"GOWRIE SENIOR HIGH/TECHNICAL SCH, GOWRIE",90602,Bongo,-0.787704289,10.92411995
727,"E.P. SENIOR HIGH SCHOOL, HOHOE",71006,Hohoe,0.466238558,7.030594826
728,"CHRISTIAN METHODIST SENIOR HIGH. SCH., ASYLUM DOWN",10119,Accra Metropolitan,-0.197115257,5.607395649
729,"DWAMENA AKENTEN SENIOR HIGH. SCHOOL, OFFINSO",50801,Offinso,-1.890868545,7.34876442
